"Beta-Plus Decay Q Values"
 54, 39,0
 53, 40,0
 52, 41,0
 51, 42,0
 50, 43,4
 49, 44,5
 48, 45,5
 47, 46,5
 46, 47,5
 60, 34,0
 59, 35,0
 58, 36,0
 57, 37,0
 56, 38,0
 55, 39,0
 54, 40,0
 53, 41,0
 52, 42,0
 51, 43,5
 50, 44,3
 49, 45,5
 48, 46,5
 47, 47,5
 46, 48,5
 61, 34,0
 60, 35,0
 59, 36,0
 58, 37,0
 57, 38,0
 56, 39,0
 55, 40,0
 54, 41,0
 53, 42,0
 52, 43,3
 51, 44,4
 50, 45,5
 49, 46,5
 48, 47,5
 47, 48,5
 61, 35,0
 60, 36,0
 59, 37,0
 58, 38,0
 57, 39,0
 56, 40,0
 55, 41,0
 54, 42,0
 53, 43,4
 52, 44,0
 51, 45,5
 50, 46,4
 49, 47,5
 48, 48,5
 47, 49,5
 62, 35,0
 61, 36,0
 60, 37,0
 59, 38,0
 58, 39,0
 57, 40,0
 56, 41,0
 55, 42,0
 54, 43,0
 53, 44,1
 52, 45,4
 51, 46,5
 50, 47,5
 49, 48,5
 48, 49,5
 63, 35,0
 62, 36,0
 61, 37,0
 60, 38,0
 59, 39,0
 58, 40,0
 57, 41,0
 56, 42,0
 55, 43,3
 54, 44,0
 53, 45,5
 52, 46,3
 51, 47,5
 50, 48,5
 49, 49,5
 63, 36,0
 62, 37,0
 61, 38,0
 60, 39,0
 59, 40,0
 58, 41,0
 57, 42,0
 56, 43,0
 55, 44,0
 54, 45,4
 53, 46,4
 52, 47,5
 51, 48,5
 50, 49,5
 49, 50,5
 64, 36,0
 63, 37,0
 62, 38,0
 61, 39,0
 60, 40,0
 59, 41,0
 58, 42,0
 57, 43,0
 56, 44,0
 55, 45,4
 54, 46,0
 53, 47,5
 52, 48,4
 51, 49,5
 50, 50,5
 65, 36,0
 64, 37,0
 63, 38,0
 62, 39,0
 61, 40,0
 60, 41,0
 59, 42,0
 58, 43,0
 57, 44,0
 56, 45,0
 55, 46,3
 54, 47,5
 53, 48,5
 52, 49,5
 51, 50,5
 65, 37,0
 64, 38,0
 63, 39,0
 62, 40,0
 61, 41,0
