At. num | Sp. Name      | Ion Charge | El. Name     | Isoel. Seq. | Ground Shells (a)    | Ground Level       | Ionized Level                      |      Ionization Energy (b) (eV)       | References
     24 | Cr XII        |        +11 | Chromium     | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |          [296.74(60)]                 |             L11770
     24 | Cr XIII       |        +12 | Chromium     | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [354.66(30)]                 |             L11770
     24 | Cr XIV        |        +13 | Chromium     | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [384.1630(60)]               |             L11770
     24 | Cr XV         |        +14 | Chromium     | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |         [1011.62(50)]                 |             L11770
     24 | Cr XVI        |        +15 | Chromium     | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |         [1097.2(14)]                  |             L11770
     24 | Cr XVII       |        +16 | Chromium     | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |         [1188.0(21)]                  |          L11770c98
     24 | Cr XVIII      |        +17 | Chromium     | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |         [1294.8(16)]                  |             L11770
     24 | Cr XIX        |        +18 | Chromium     | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |         [1394.50(70)]                 |             L11770
     24 | Cr XX         |        +19 | Chromium     | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |         [1495.10(70)]                 |             L11770
     24 | Cr XXI        |        +20 | Chromium     | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |         [1634.00(50)]                 |             L11770
     24 | Cr XXII       |        +21 | Chromium     | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |         (1721.1830(70))               |          L16264c99
     24 | Cr XXIII      |        +22 | Chromium     | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (7481.86250(70))              |             L12128
     24 | Cr XXIV       |        +23 | Chromium     | H           | 1s                   | 2S<1/2>            |                                    |         (7894.7990(25))               |              L7188
     25 | Mn I          |          0 | Manganese    | Mn          | [Ar].3d5.4s2         | 6S<5/2>            | 3d5.4s 7S<3>                       |             7.4340377(12)             |             L19057
     25 | Mn II         |         +1 | Manganese    | Cr          | [Ar].3d5.4s          | 7S<3>              | 3d5 6S<5/2>                        |            15.639990(70)              |         L7185,L562
     25 | Mn III        |         +2 | Manganese    | V           | [Ar].3d5             | 6S<5/2>            | 3d4 5D<0>                          |            33.668(12)                 |         L7185,L457
     25 | Mn IV         |         +3 | Manganese    | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |           [51.20(12)]                 |         L7185,L241
     25 | Mn V          |         +4 | Manganese    | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |           [72.40(10)]                 |      L7185,L241c99
     25 | Mn VI         |         +5 | Manganese    | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |            95.600(25)                 |              L7185
     25 | Mn VII        |         +6 | Manganese    | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |           119.203(12)                 |        L7185,L5223
     25 | Mn VIII       |         +7 | Manganese    | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |          [195.47(30)]                 |             L11770
     25 | Mn IX         |         +8 | Manganese    | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |          [221.89(17)]                 |             L11770
     25 | Mn X          |         +9 | Manganese    | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |          [248.64(30)]                 |             L11770
     25 | Mn XI         |        +10 | Manganese    | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |          [286.14(50)]                 |             L11770
     25 | Mn XII        |        +11 | Manganese    | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |          [314.40(60)]                 |              L7185
     25 | Mn XIII       |        +12 | Manganese    | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |          [343.60(70)]                 |              L7185
     25 | Mn XIV        |        +13 | Manganese    | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [403.00(25)]                 |              L7185
     25 | Mn XV         |        +14 | Manganese    | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [435.1700(70)]               |             L11770
     25 | Mn XVI        |        +15 | Manganese    | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |         [1133.72(60)]                 |             L11770
     25 | Mn XVII       |        +16 | Manganese    | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |         [1224.1(15)]                  |             L11770
     25 | Mn XVIII      |        +17 | Manganese    | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |         [1320.3(25)]                  |             L11770
     25 | Mn XIX        |        +18 | Manganese    | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |         [1430.9(22)]                  |             L11770
     25 | Mn XX         |        +19 | Manganese    | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |         [1537.22(80)]                 |             L11770
     25 | Mn XXI        |        +20 | Manganese    | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |         [1643.21(70)]                 |             L11770
     25 | Mn XXII       |        +21 | Manganese    | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |         [1788.70(60)]                 |             L11770
     25 | Mn XXIII      |        +22 | Manganese    | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |         (1879.8700(70))               |          L16264c99
     25 | Mn XXIV       |        +23 | Manganese    | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (8140.7869(10))               |             L12128
     25 | Mn XXV        |        +24 | Manganese    | H           | 1s                   | 2S<1/2>            |                                    |         (8571.9480(25))               |              L7188
     26 | Fe I          |          0 | Iron         | Fe          | [Ar].3d6.4s2         | 5D<4>              | 3d6.4s 6D<9/2>                     |             7.9024678(12)             |          L7743c109
     26 | Fe II         |         +1 | Iron         | Mn          | [Ar].3d6.4s          | 6D<9/2>            | 3d6 5D<4>                          |            16.199200(50)              |             L18349
     26 | Fe III        |         +2 | Iron         | Cr          | [Ar].3d6             | 5D<4>              | 3d5 6S<5/2>                        |            30.651(12)                 |        L7185,L1171
     26 | Fe IV         |         +3 | Iron         | V           | [Ar].3d5             | 6S<5/2>            | 3d4 5D<0>                          |            54.910(40)                 |             L17209
     26 | Fe V          |         +4 | Iron         | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |           [75.00(15)]                 |         L7185,L241
     26 | Fe VI         |         +5 | Iron         | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |            98.985(15)                 |             L17209
     26 | Fe VII        |         +6 | Iron         | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |           125.000(12)                 |        L7185,L5267
     26 | Fe VIII       |         +7 | Iron         | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |           151.060(12)                 |              L7185
     26 | Fe IX         |         +8 | Iron         | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |          [233.60(40)]                 |              L7185
     26 | Fe X          |         +9 | Iron         | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |          [262.10(12)]                 |              L7185
     26 | Fe XI         |        +10 | Iron         | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |          [290.90(40)]                 |             L11770
     26 | Fe XII        |        +11 | Iron         | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |          [330.81(60)]                 |             L11770
     26 | Fe XIII       |        +12 | Iron         | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |          [361.00(70)]                 |              L7185
     26 | Fe XIV        |        +13 | Iron         | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |          [392.20(70)]                 |              L7185
     26 | Fe XV         |        +14 | Iron         | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |           456.20(50)                  |             L17943
     26 | Fe XVI        |        +15 | Iron         | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [489.312(14)]                |             L11770
     26 | Fe XVII       |        +16 | Iron         | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |         [1262.70(70)]                 |             L11770
     26 | Fe XVIII      |        +17 | Iron         | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |         [1357.8(19)]                  |             L11770
     26 | Fe XIX        |        +18 | Iron         | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |         [1460(3)]                     |             L11770
     26 | Fe XX         |        +19 | Iron         | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |          1575.60(50)                  |              L7185
     26 | Fe XXI        |        +20 | Iron         | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |         [1687.0(10)]                  |             L11770
     26 | Fe XXII       |        +21 | Iron         | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |         [1798.43(80)]                 |             L11770
     26 | Fe XXIII      |        +22 | Iron         | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |         [1950.4(18)]                  |             L11770
     26 | Fe XXIV       |        +23 | Iron         | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |         (2045.7590(70))               |          L16264c99
     26 | Fe XXV        |        +24 | Iron         | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (8828.1875(11))               |             L12128
     26 | Fe XXVI       |        +25 | Iron         | H           | 1s                   | 2S<1/2>            |                                    |         (9277.6810(25))               |              L7188
     27 | Co I          |          0 | Cobalt       | Co          | [Ar].3d7.4s2         | 4F<9/2>            | 3d8 3F<4>                          |             7.88101(12)               |             L10545
     27 | Co II         |         +1 | Cobalt       | Fe          | [Ar].3d8             | 3F<4>              | 3d7 4F<9/2>                        |            17.0844(12)                |        L7185,L2115
     27 | Co III        |         +2 | Cobalt       | Mn          | [Ar].3d7             | 4F<9/2>            | 3d6 5D<4>                          |           [33.500(60)]                |       L7185,L17500
     27 | Co IV         |         +3 | Cobalt       | Cr          | [Ar].3d6             | 5D<4>              | 3d5 6S<5/2>                        |           [51.27(10)]                 |         L7185,L241
     27 | Co V          |         +4 | Cobalt       | V           | [Ar].3d5             | 6S<5/2>            | 3d4 5D<0>                          |           [79.50(20)]                 |         L7185,L241
     27 | Co VI         |         +5 | Cobalt       | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |          [102.00(20)]                 |         L7185,L241
     27 | Co VII        |         +6 | Cobalt       | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |          [129.00(50)]                 |      L7185,L241c99
     27 | Co VIII       |         +7 | Cobalt       | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |          [157.80(60)]                 |              L7185
     27 | Co IX         |         +8 | Cobalt       | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |           186.14(25)                  |              L7185
     27 | Co X          |         +9 | Cobalt       | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |          [275.40(40)]                 |              L7185
     27 | Co XI         |        +10 | Cobalt       | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |          [305.32(23)]                 |             L11770
     27 | Co XII        |        +11 | Cobalt       | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |          [336.15(40)]                 |             L11770
     27 | Co XIII       |        +12 | Cobalt       | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |          [378.55(70)]                 |             L11770
     27 | Co XIV        |        +13 | Cobalt       | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |          [410.0(10)]                  |             L11770
     27 | Co XV         |        +14 | Cobalt       | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |          [441.1(14)]                  |             L11770
     27 | Co XVI        |        +15 | Cobalt       | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [511.960(60)]                |              L7185
     27 | Co XVII       |        +16 | Cobalt       | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [546.588(15)]                |          L11770c98
     27 | Co XVIII      |        +17 | Cobalt       | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |          1397.20(50)                  |              L7185
     27 | Co XIX        |        +18 | Cobalt       | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |          1504.5(12)                   |              L7185
     27 | Co XX         |        +19 | Cobalt       | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |         [1606(4)]                     |             L11770
     27 | Co XXI        |        +20 | Cobalt       | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |         [1724(3)]                     |             L11770
     27 | Co XXII       |        +21 | Cobalt       | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |         [1844.0(11)]                  |             L11770
     27 | Co XXIII      |        +22 | Cobalt       | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |         [1960.83(80)]                 |             L11770
     27 | Co XXIV       |        +23 | Cobalt       | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |         [2119.4(19)]                  |             L11770
     27 | Co XXV        |        +24 | Cobalt       | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |         (2218.8760(70))               |          L16264c99
     27 | Co XXVI       |        +25 | Cobalt       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |         (9544.1830(12))               |             L12128
     27 | Co XXVII      |        +26 | Cobalt       | H           | 1s                   | 2S<1/2>            |                                    |        (10012.1220(40))               |              L7188
     28 | Ni I          |          0 | Nickel       | Ni          | [Ar].3d8.4s2         | 3F<4>              | 3d9 2D<5/2>                        |             7.639877(17)              |             L12369
     28 | Ni II         |         +1 | Nickel       | Co          | [Ar].3d9             | 2D<5/2>            | 3d8 3F<4>                          |            18.168837(25)              |         L7185,L897
     28 | Ni III        |         +2 | Nickel       | Fe          | [Ar].3d8             | 3F<4>              | 3d7 4F<9/2>                        |            35.190(19)                 |             L11049
     28 | Ni IV         |         +3 | Nickel       | Mn          | [Ar].3d7             | 4F<9/2>            | 3d6 5D<4>                          |           [54.90(25)]                 |         L7185,L241
     28 | Ni V          |         +4 | Nickel       | Cr          | [Ar].3d6             | 5D<4>              | 3d5 6S<5/2>                        |           [76.060(60)]                |              L7185
     28 | Ni VI         |         +5 | Nickel       | V           | [Ar].3d5             | 6S<5/2>            | 3d4 5D<0>                          |          [108.0(10)]                  |      L7185,L241c99
     28 | Ni VII        |         +6 | Nickel       | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |          (132.0(20))                  |           L8672c99
     28 | Ni VIII       |         +7 | Nickel       | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |          (162.0(21))                  |           L8672c99
     28 | Ni IX         |         +8 | Nickel       | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |          [193.20(50)]                 |            L241c99
     28 | Ni X          |         +9 | Nickel       | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |          [224.70(50)]                 |      L7185,L241c99
     28 | Ni XI         |        +10 | Nickel       | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |          [319.53(70)]                 |             L11770
     28 | Ni XII        |        +11 | Nickel       | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |          [351.63(30)]                 |             L11770
     28 | Ni XIII       |        +12 | Nickel       | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |          [384.55(50)]                 |             L11770
     28 | Ni XIV        |        +13 | Nickel       | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |          [429.32(80)]                 |             L11770
     28 | Ni XV         |        +14 | Nickel       | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |          [462.8(11)]                  |             L11770
     28 | Ni XVI        |        +15 | Nickel       | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |          [495.4(17)]                  |             L11770
     28 | Ni XVII       |        +16 | Nickel       | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [571.10(12)]                 |              L7185
     28 | Ni XVIII      |        +17 | Nickel       | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [607.020(19)]                |             L11770
     28 | Ni XIX        |        +18 | Nickel       | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |         [1541.05(80)]                 |             L11770
     28 | Ni XX         |        +19 | Nickel       | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |         [1646(3)]                     |             L11770
     28 | Ni XXI        |        +20 | Nickel       | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |         [1758(4)]                     |             L11770
     28 | Ni XXII       |        +21 | Nickel       | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |         [1880(5)]                     |             L11770
     28 | Ni XXIII      |        +22 | Nickel       | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |         [2008.1(13)]                  |             L11770
     28 | Ni XXIV       |        +23 | Nickel       | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |         [2130.46(90)]                 |             L11770
     28 | Ni XXV        |        +24 | Nickel       | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |         [2295.6(21)]                  |             L11770
     28 | Ni XXVI       |        +25 | Nickel       | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |         (2399.2590(70))               |          L16264c99
     28 | Ni XXVII      |        +26 | Nickel       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |        (10288.8858(14))               |             L12128
     28 | Ni XXVIII     |        +27 | Nickel       | H           | 1s                   | 2S<1/2>            |                                    |        (10775.3860(40))               |              L7188
     29 | Cu I          |          0 | Copper       | Cu          | [Ar].3d10.4s         | 2S<1/2>            | 3d10 1S<0>                         |             7.7263800(40)             |             L14897
     29 | Cu II         |         +1 | Copper       | Ni          | [Ar].3d10            | 1S0                | 3d9 2D<5/2>                        |            20.292390(60)              |             L10559
     29 | Cu III        |         +2 | Copper       | Co          | [Ar].3d9             | 2D<5/2>            | 3d8 3F<4>                          |            36.841(12)                 |       L10559,L2987
     29 | Cu IV         |         +3 | Copper       | Fe          | [Ar].3d8             | 3F<4>              | 3d7 4F<9/2>                        |           [57.380(50)]                |       L10559,L5144
     29 | Cu V          |         +4 | Copper       | Mn          | [Ar].3d7             | 4F<9/2>            | 3d6 5D<4>                          |           [79.80(70)]                 |        L10559,L241
     29 | Cu VI         |         +5 | Copper       | Cr          | [Ar].3d6             | 5D<4>              | 3d5 6S<5/2>                        |          [103.0(10)]                  |        L10559,L241
     29 | Cu VII        |         +6 | Copper       | V           | [Ar].3d5             | 6S<5/2>            | 3d4 5D<0>                          |          [139.0(12)]                  |     L10559,L241c99
     29 | Cu VIII       |         +7 | Copper       | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |          (166.0(21))                  |           L8672c99
     29 | Cu IX         |         +8 | Copper       | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |          (198.0(22))                  |           L8672c99
     29 | Cu X          |         +9 | Copper       | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |          [232.20(50)]                 |            L241c99
     29 | Cu XI         |        +10 | Copper       | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |           265.00(25)                  |             L10559
     29 | Cu XII        |        +11 | Copper       | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |          [367.03(90)]                 |             L11770
     29 | Cu XIII       |        +12 | Copper       | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |          [400.98(30)]                 |             L11770
     29 | Cu XIV        |        +13 | Copper       | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |          [436.04(60)]                 |             L11770
     29 | Cu XV         |        +14 | Copper       | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |          [483.13(90)]                 |             L11770
     29 | Cu XVI        |        +15 | Copper       | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |          [518.7(12)]                  |             L11770
     29 | Cu XVII       |        +16 | Copper       | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |          [552.8(21)]                  |             L11770
     29 | Cu XVIII      |        +17 | Copper       | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [632.48(60)]                 |             L11770
     29 | Cu XIX        |        +18 | Copper       | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [670.608(20)]                |             L11770
     29 | Cu XX         |        +19 | Copper       | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |         [1690.50(90)]                 |             L11770
     29 | Cu XXI        |        +20 | Copper       | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |         [1800(3)]                     |             L11770
     29 | Cu XXII       |        +21 | Copper       | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |         [1918(4)]                     |             L11770
     29 | Cu XXIII      |        +22 | Copper       | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |         [2044(6)]                     |             L11770
     29 | Cu XXIV       |        +23 | Copper       | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |         [2179.4(15)]                  |             L11770
     29 | Cu XXV        |        +24 | Copper       | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |         [2307.0(10)]                  |             L11770
     29 | Cu XXVI       |        +25 | Copper       | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |         [2479.1(22)]                  |             L11770
     29 | Cu XXVII      |        +26 | Copper       | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |         (2586.9540(70))               |          L16264c99
     29 | Cu XXVIII     |        +27 | Copper       | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |        (11062.4309(16))               |             L12128
     29 | Cu XXIX       |        +28 | Copper       | H           | 1s                   | 2S<1/2>            |                                    |        (11567.6120(40))               |              L7188
     30 | Zn I          |          0 | Zinc         | Zn          | [Ar].3d10.4s2        | 1S0                | 4s 2S<1/2>                         |             9.3941970(60)             |             L13951
     30 | Zn II         |         +1 | Zinc         | Cu          | [Ar].3d10.4s         | 2S<1/2>            | 3d10 1S<0>                         |            17.96439(25)               |         L9171,L640
     30 | Zn III        |         +2 | Zinc         | Ni          | [Ar].3d10            | 1S0                | 3d9 2D<5/2>                        |            39.72300(12)               |          L9171,L65
     30 | Zn IV         |         +3 | Zinc         | Co          | [Ar].3d9             | 2D<5/2>            | 3d8 3F<4>                          |            59.573(19)                 |        L9171,L6389
     30 | Zn V          |         +4 | Zinc         | Fe          | [Ar].3d8             | 3F<4>              | 3d7 4F<9/2>                        |           [82.60(90)]                 |         L9171,L241
     30 | Zn VI         |         +5 | Zinc         | Mn          | [Ar].3d7             | 4F<9/2>            | 3d6 5D<4>                          |          [108.0(10)]                  |         L9171,L241
     30 | Zn VII        |         +6 | Zinc         | Cr          | [Ar].3d6             | 5D<4>              | 3d5 6S<5/2>                        |          [134.0(12)]                  |         L9171,L241
     30 | Zn VIII       |         +7 | Zinc         | V           | [Ar].3d5             | 6S<5/2>            | 3d4 5D<0>                          |          [173.9(17)]                  |      L9171,L241c99
     30 | Zn IX         |         +8 | Zinc         | Ti          | [Ar].3d4             | 5D0                | 3d3 4F<3/2>                        |          [203.0(20)]                  |         L9171,L241
     30 | Zn X          |         +9 | Zinc         | Sc          | [Ar].3d3             | 4F<3/2>            | 3d2 3F<2>                          |          (238.0(22))                  |           L8672c99
     30 | Zn XI         |        +10 | Zinc         | Ca          | [Ar].3d2             | 3F<2>              | 3d 2D<3/2>                         |          [274.40(50)]                 |            L241c99
     30 | Zn XII        |        +11 | Zinc         | K           | [Ar].3d              | 2D<3/2>            | 3p6 1S<0>                          |          [310.8(10)]                  |              L9171
     30 | Zn XIII       |        +12 | Zinc         | Ar          | [Ne].3s2.3p6         | 1S0                | 3p5 2P*<3/2>                       |          [417.6(12)]                  |             L11770
     30 | Zn XIV        |        +13 | Zinc         | Cl          | [Ne].3s2.3p5         | 2P*<3/2>           | 3p4 3P<2>                          |          [453.37(30)]                 |             L11770
     30 | Zn XV         |        +14 | Zinc         | S           | [Ne].3s2.3p4         | 3P<2>              | 3p3 4S*<3/2>                       |          [490.63(60)]                 |             L11770
     30 | Zn XVI        |        +15 | Zinc         | P           | [Ne].3s2.3p3         | 4S*<3/2>           | 3p2 3P<0>                          |          [540.0(10)]                  |             L11770
     30 | Zn XVII       |        +16 | Zinc         | Si          | [Ne].3s2.3p2         | 3P0                | 3p 2P*<1/2>                        |          [577.8(13)]                  |             L11770
     30 | Zn XVIII      |        +17 | Zinc         | Al          | [Ne].3s2.3p          | 2P*<1/2>           | 3s2 1S<0>                          |          [613.3(24)]                  |             L11770
     30 | Zn XIX        |        +18 | Zinc         | Mg          | [Ne].3s2             | 1S0                | 3s 2S<1/2>                         |          [697.51(70)]                 |             L11770
     30 | Zn XX         |        +19 | Zinc         | Na          | [Ne].3s              | 2S<1/2>            | 2p6 1S<0>                          |          [737.366(21)]                |             L11770
     30 | Zn XXI        |        +20 | Zinc         | Ne          | 1s2.2s2.2p6          | 1S0                | 2p5 2P*<3/2>                       |         [1846.8(10)]                  |             L11770
     30 | Zn XXII       |        +21 | Zinc         | F           | 1s2.2s2.2p5          | 2P*<3/2>           | 2p4 3P<2>                          |         [1961(3)]                     |             L11770
     30 | Zn XXIII      |        +22 | Zinc         | O           | 1s2.2s2.2p4          | 3P<2>              | 2p3 4S*<3/2>                       |         [2085(5)]                     |             L11770
     30 | Zn XXIV       |        +23 | Zinc         | N           | 1s2.2s2.2p3          | 4S*<3/2>           | 2p2 3P<0>                          |         [2214(8)]                     |             L11770
     30 | Zn XXV        |        +24 | Zinc         | C           | 1s2.2s2.2p2          | 3P0                | 2p 2P*<1/2>                        |         [2358.0(16)]                  |             L11770
     30 | Zn XXVI       |        +25 | Zinc         | B           | 1s2.2s2.2p           | 2P*<1/2>           | 2s2 1S<0>                          |         [2491.5(11)]                  |             L11770
     30 | Zn XXVII      |        +26 | Zinc         | Be          | 1s2.2s2              | 1S0                | 2s 2S<1/2>                         |         [2669.9(25)]                  |             L11770
     30 | Zn XXVIII     |        +27 | Zinc         | Li          | 1s2.2s               | 2S<1/2>            | 1s2 1S<0>                          |         (2781.9960(70))               |          L16264c99
     30 | Zn XXIX       |        +28 | Zinc         | He          | 1s2                  | 1S0                | 1s 2S<1/2>                         |        (11864.9394(19))               |             L12128
     30 | Zn XXX        |        +29 | Zinc         | H           | 1s                   | 2S<1/2>            |                                    |        (12388.9280(50))               |              L7188
     31 | Ga I          |          0 | Gallium      | Ga          | [Ar].3d10.4s2.4p     | 2P*<1/2>           | 4s2 1S<0>                          |             5.9993018(12)             |              L5566
